method,word_budget,queries,accuracy,abstain_rate,mean_context_words,mean_selected_notes,verified_current_coverage,mean_obsolete_fraction
adaptive,105,1920,0.975,0.0,98.23,3.0,0.9958,0.0194
recency,105,1920,0.4734,0.3536,96.22,3.0,0.051,0.0
source_only,105,1920,0.9557,0.0,99.0,3.0,0.9969,0.2305
topic_recent,105,1920,0.9474,0.0,97.44,3.0,0.9187,0.0083
adaptive,210,1920,0.9781,0.0,194.72,6.0,0.9969,0.2355
recency,210,1920,0.7479,0.0797,193.64,6.0,0.3693,0.0
source_only,210,1920,0.9729,0.0,195.73,6.0,0.9969,0.4409
topic_recent,210,1920,0.9771,0.0,194.39,6.0,0.9948,0.2085
adaptive,52,1920,0.9432,0.0,33.0,1.0,0.9432,0.0
recency,52,1920,0.1922,0.75,32.06,1.0,0.0135,0.0
source_only,52,1920,0.9432,0.0,33.0,1.0,0.9432,0.0
topic_recent,52,1920,0.7703,0.0,32.2,1.0,0.1891,0.0
full_history,unbounded,1920,0.9745,0.0,1293.18,39.92,0.9969,0.5008
